x,y,z_predicted
180703.76987816952,5971172.13110639,56.43905940832363
181703.76987816952,5971172.13110639,56.458444990197194
182703.76987816952,5971172.13110639,56.475854378775935
183703.76987816952,5971172.13110639,56.49137419410188
184703.76987816952,5971172.13110639,56.5051064288263
185703.76987816952,5971172.13110639,56.51716547755426
186703.76987816952,5971172.13110639,56.527674988091185
187703.76987816952,5971172.13110639,56.536764655969385
188703.76987816952,5971172.13110639,56.54456708606844
189703.76987816952,5971172.13110639,56.551214838762824
190703.76987816952,5971172.13110639,56.55683776365948
191703.76987816952,5971172.13110639,56.56156070328753
192703.76987816952,5971172.13110639,56.56550162428575
193703.76987816952,5971172.13110639,56.56877020715648
194703.76987816952,5971172.13110639,56.57146689990387
195703.76987816952,5971172.13110639,56.57368241794164
196703.76987816952,5971172.13110639,56.57549765416389
197703.76987816952,5971172.13110639,56.576983950121885
198703.76987816952,5971172.13110639,56.57820367238329
199703.76987816952,5971172.13110639,56.57921103737622
200703.76987816952,5971172.13110639,56.58005313278852
201703.76987816952,5971172.13110639,56.58077109270049
202703.76987816952,5971172.13110639,56.5814013948413
203703.76987816952,5971172.13110639,56.58197725746432
204703.76987816952,5971172.13110639,56.5825301118296
205703.76987816952,5971172.13110639,56.58309109605983
206703.76987816952,5971172.13110639,56.58369241744164
207703.76987816952,5971172.13110639,56.58436817445838
208703.76987816952,5971172.13110639,56.585153617875946
209703.76987816952,5971172.13110639,56.586080412762264
210703.76987816952,5971172.13110639,56.5871622256909
211703.76987816952,5971172.13110639,56.588357630861765
212703.76987816952,5971172.13110639,56.58948097109834
213703.76987816952,5971172.13110639,56.58999665174113
214703.76987816952,5971172.13110639,56.58856419237802
215703.76987816952,5971172.13110639,56.58210766854868
216703.76987816952,5971172.13110639,56.56424556898694
217703.76987816952,5971172.13110639,56.52398632071073
218703.76987816952,5971172.13110639,56.44920595678383
219703.76987816952,5971172.13110639,56.34091225004242
220703.76987816952,5971172.13110639,56.22469930267393
221703.76987816952,5971172.13110639,56.13099279259318
222703.76987816952,5971172.13110639,56.06921550724798
223703.76987816952,5971172.13110639,56.03212599191254
224703.76987816952,5971172.13110639,56.00998768532934
225703.76987816952,5971172.13110639,55.99614366003781
226703.76987816952,5971172.13110639,55.98690769166492
227703.76987816952,5971172.13110639,55.98037676953624
228703.76987816952,5971172.13110639,55.97556769904165
229703.76987816952,5971172.13110639,55.971947761520894
230703.76987816952,5971172.13110639,55.96920485821319
231703.76987816952,5971172.13110639,55.96713988832563
232703.76987816952,5971172.13110639,55.96561760169808
233703.76987816952,5971172.13110639,55.96454497840935
234703.76987816952,5971172.13110639,55.96386315417373
235703.76987816952,5971172.13110639,55.96354752094227
236703.76987816952,5971172.13110639,55.963615774720004
237703.76987816952,5971172.13110639,55.96414874362341
238703.76987816952,5971172.13110639,55.96533800064288
239703.76987816952,5971172.13110639,55.96759720447901
240703.76987816952,5971172.13110639,55.971839657462006
241703.76987816952,5971172.13110639,55.980227706921326
242703.76987816952,5971172.13110639,55.99837285800274
243703.76987816952,5971172.13110639,56.04232956157081
244703.76987816952,5971172.13110639,56.16238545647486
245703.76987816952,5971172.13110639,56.52732074381587
246703.76987816952,5971172.13110639,57.70993564281086
247703.76987816952,5971172.13110639,61.33238511051229
248703.76987816952,5971172.13110639,69.09375025458088
249703.76987816952,5971172.13110639,76.81309908798083
250703.76987816952,5971172.13110639,80.06459573774622
251703.76987816952,5971172.13110639,80.80230582688473
252703.76987816952,5971172.13110639,80.84990537395241
253703.76987816952,5971172.13110639,80.75580873469734
254703.76987816952,5971172.13110639,80.6421973197809
255703.76987816952,5971172.13110639,80.53594964667847
256703.76987816952,5971172.13110639,80.44600643635901
257703.76987816952,5971172.13110639,80.37760657467037
258703.76987816952,5971172.13110639,80.33302481482303
259703.76987816952,5971172.13110639,80.31001575162531
260703.76987816952,5971172.13110639,80.30176255438475
261703.76987816952,5971172.13110639,80.30012074195609
