lluvia,geometry
68.0,"POLYGON ((-71.94607110513248 -34.70191942553712, -71.94607110513248 -34.746835189743095, -71.90115534092651 -34.746835189743095, -71.90115534092651 -34.800734106790266, -71.84725642387933 -34.800734106790266, -71.84725642387933 -34.746835189743095, -71.90115534092651 -34.746835189743095, -71.90115534092651 -34.70191942553712, -71.94607110513248 -34.70191942553712))"
67.0,"POLYGON ((-71.90115534092651 -34.70191942553712, -71.90115534092651 -34.746835189743095, -71.84725642387933 -34.746835189743095, -71.84725642387933 -34.70191942553712, -71.90115534092651 -34.70191942553712))"
76.0,"POLYGON ((-71.84725642387933 -34.70191942553712, -71.84725642387933 -34.746835189743095, -71.80234065967336 -34.746835189743095, -71.80234065967336 -34.70191942553712, -71.84725642387933 -34.70191942553712))"
78.0,"POLYGON ((-71.80234065967336 -34.70191942553712, -71.80234065967336 -34.746835189743095, -71.74844174262618 -34.746835189743095, -71.74844174262618 -34.70191942553712, -71.80234065967336 -34.70191942553712))"
84.0,"POLYGON ((-71.74844174262618 -34.70191942553712, -71.74844174262618 -34.746835189743095, -71.7035259784202 -34.746835189743095, -71.7035259784202 -34.70191942553712, -71.74844174262618 -34.70191942553712))"
80.0,"POLYGON ((-71.7035259784202 -34.70191942553712, -71.7035259784202 -34.800734106790266, -71.64962706137304 -34.800734106790266, -71.64962706137304 -34.70191942553712, -71.7035259784202 -34.70191942553712))"
75.0,"POLYGON ((-71.64962706137304 -34.70191942553712, -71.64962706137304 -34.746835189743095, -71.59572814432586 -34.746835189743095, -71.59572814432586 -34.70191942553712, -71.64962706137304 -34.70191942553712))"
71.0,"POLYGON ((-71.59572814432586 -34.70191942553712, -71.59572814432586 -34.746835189743095, -71.5508123801199 -34.746835189743095, -71.5508123801199 -34.70191942553712, -71.59572814432586 -34.70191942553712))"
69.0,"POLYGON ((-71.5508123801199 -34.70191942553712, -71.5508123801199 -34.746835189743095, -71.49691346307272 -34.746835189743095, -71.49691346307272 -34.70191942553712, -71.5508123801199 -34.70191942553712))"
71.0,"POLYGON ((-71.49691346307272 -34.70191942553712, -71.49691346307272 -34.746835189743095, -71.45199769886675 -34.746835189743095, -71.45199769886675 -34.70191942553712, -71.49691346307272 -34.70191942553712))"
